lng,lat
-0.198465,51.505538
-0.17883800000000002,51.491836
-0.20559,51.51491
-0.208327,51.514952
-0.206022,51.496572
-0.19361,51.500788
-0.173519,51.495171
-0.16354200000000002,51.492497
-0.21198000000000006,51.513659
-0.199786,51.5159
-0.216407,51.518402
-0.184495,51.501726
-0.172522,51.491289
-0.195797,51.492818
-0.16688599999999998,51.488143
-0.166882,51.488233
-0.214099,51.51477
-0.183889,51.484361
-0.207725,51.51925900000001
-0.172964,51.491026
-0.163102,51.499864
-0.192941,51.488548
-0.193675,51.488199
-0.215564,51.51785
-0.185515,51.483307
-0.163793,51.496997
-0.158276,51.494483
-0.194671,51.506739
-0.167365,51.483385
-0.167321,51.48806
-0.172881,51.482302
-0.197319,51.509028
-0.160434,51.501711
-0.215936,51.504636
-0.215377,51.5263
-0.185591,51.485017
-0.16476300000000002,51.483614
-0.159271,51.501962
-0.18286,51.484885
-0.166709,51.492547
-0.165997,51.492356
-0.214056,51.519535
-0.205446,51.514908
-0.176955,51.48848
-0.15865,51.495928
-0.227035,51.519372
-0.192799,51.499426
-0.173334,51.481769
-0.196819,51.510729
-0.193059,51.50015
-0.157984,51.494568
-0.170251,51.486847
-0.22116,51.514787
-0.17813900000000002,51.487689
-0.21809,51.51591
-0.21020300000000006,51.511203
-0.214021,51.524121
-0.209563,51.516499
-0.178728,51.480144
-0.15588,51.489589
-0.203266,51.50804
-0.182567,51.481373
-0.215743,51.505892
-0.157499,51.492312
-0.205256,51.516074
-0.180503,51.486197
-0.193459,51.500965
-0.160914,51.496952
-0.210912,51.518858
-0.179323,51.486898
-0.190458,51.489409
-0.224558,51.520054
-0.201846,51.522136
-0.210248,51.517409
-0.181786,51.479293
-0.17843599999999998,51.48023
-0.15675799999999998,51.49284
-0.208464,51.515134
-0.193462,51.500875
-0.156165,51.489684
-0.19361,51.500788
-0.169718,51.492953
-0.202383,51.512163
-0.17626,51.484243
-0.16736099999999998,51.483474
-0.168203,51.487624
-0.198869,51.506264
-0.194628,51.49325
-0.167994,51.492837
-0.16662000000000002,51.487599
-0.167653,51.483389
-0.206229,51.498643
-0.186404,51.482691
-0.173331,51.481859
-0.18578,51.480254
-0.202664,51.497689
-0.173755,51.482045
-0.201527,51.508283
-0.19279,51.488725
-0.182712,51.484972
-0.170837,51.486586
-0.160578,51.501713
-0.161495,51.48608
-0.197795,51.511553
-0.188655,51.487672
-0.157341,51.49267
-0.187321,51.492238
-0.173897,51.496526
-0.204204,51.520824
-0.204365,51.509406
-0.209282,51.51631500000001
-0.178456,51.490572
-0.186209,51.502112
-0.185633,51.480341
-0.184611,51.480685
-0.172792,51.495339
-0.191112,51.494724
-0.17390999999999998,51.485375
-0.194273,51.509521
-0.180618,51.501396
-0.188218,51.502323
-0.209967,51.517225
-0.166296,51.488494
-0.16943,51.496546
-0.167177,51.488058
-0.160171,51.501077
